prefix	name	norm_name
набережная	пресненская	пресненская
переулок	пресненский	пресненский
набережная	пречистенская	пречистенская
улица	привольная	привольная
проезд	продольный	продольный
проезд	апакова	апакова
проезд	березовой рощи	березовой рощи
проезд	воскресенские ворота	воскресенские ворота
проезд	дежнева	дежнева
проезд	донелайтиса	донелайтиса
проезд	нансена	нансена
проезд	русанова	русанова
проезд	сокольнического круга	сокольнического круга
проезд	черепановых	черепановых
проезд	шокальского	шокальского
проезд	проектируемый №1285	проектируемый номер тысяча двести восемьдесят пять
проезд	проектируемый №4062	проектируемый номер четыре тысячи шестьдесят два
проезд	проектируемый №5280	проектируемый номер пять тысяч двести восемьдесят
проезд	проектируемый №6281	проектируемый номер шесть тысяч двести восемьдесят один
проспект	пролетарский	пролетарский
проезд	промышленный	промышленный
проспект	60-летия октября	шестидесятилетия октября
проспект	академика сахарова	академика сахарова
проспект	андропова	андропова
проспект	буденного	буденного
проспект	вернадского	вернадского
проспект	вернадского (дублер)	вернадского ( дублер )
проспект	королева	королева
проспект	ленина	ленина
проспект	маршала жукова	маршала жукова
проспект	маршала жукова (дублер)	маршала жукова ( дублер )
проспект	мельникова	мельникова
проспект	мира	мира
проспект	мира (дублер)	мира ( дублер )
переулок	протопоповский	протопоповский
переулок	проточный	проточный
улица	профсоюзная	профсоюзная
улица	прудищинская	прудищинская
улица	пушечная	пушечная
набережная	пушкинская	пушкинская
улица	пятницкая	пятницкая
переулок	пятницкий	пятницкий
шоссе	пятницкое (дублер)	пятницкое ( дублер )
	р-111	минус сто одиннадцать рублей
бульвар	ракетный	ракетный
аллея	рассветная	рассветная
переулок	рахмановский	рахмановский
шоссе	рогачевское	рогачевское
бульвар	рождественский	рождественский
переулок	романов	романов
проезд	россошанский	россошанский
улица	рочдельская	рочдельская
шоссе	рублёво-успенское	рублёво-успенское
шоссе	рублевское	рублевское
шоссе	рублевское (дублер)	рублевское ( дублер )
набережная	рубцовская	рубцовская
переулок	ружейный	ружейный
улица	рузская	рузская
набережная	русаковская	русаковская
улица	русаковская	русаковская
переулок	рыбный	рыбный
улица	рябиновая	рябиновая
проспект	рязанский	рязанский
проспект	рязанский (дублер)	рязанский ( дублер )
набережная	саввинская	саввинская
улица	садовая	садовая
улица	садовая-каретная	садовая-каретная
улица	садовая-кудринская	садовая-кудринская
улица	садовая-самотечная	садовая-самотечная
улица	садовая-спасская	садовая-спасская
улица	садовая-сухаревская	садовая-сухаревская
улица	садовая-триумфальная	садовая-триумфальная
улица	садовая-черногрязская	садовая-черногрязская
набережная	садовническая	садовническая
улица	садовническая	садовническая
кольцо	садовое	садовое
тупик	садовый	садовый
улица	салтыковская	салтыковская
бульвар	самаркандский	самаркандский
улица	самарская	самарская
улица	самокатная	самокатная
переулок	сандуновский	сандуновский
переулок	сверчков	сверчков
проспекте	свободный	свободный
улица	святотроицкая	святотроицкая
улиц	севанска	севанска
проспект	севастопольский	севастопольский
шоссе	северное	северное
бульвар	северный	северный
улица	северодвинская	северодвинская
улица	селезнёвская	селезнёвская
переулок	селиверстов	селиверстов
улица	селигерская	селигерская
улица	сельскохозяйственная	сельскохозяйственная
набережная	семеновская	семеновская
переулок	семёновский	семёновский
переулок	семеновский	семеновский
тупик	семинарский	семинарский
переулок	серебряный	серебряный
переулок	сеченовский	сеченовский
проезд	сибирский	сибирский
переулок	сивяков	сивяков
проезд	сигнальный	сигнальный
набережная	симоновская	симоновская
бульвар	симферопольский	симферопольский
бульвар	сиреневый	сиреневый
улица	скаковая	скаковая
переулок	скатертный	скатертный
улица	складочная	складочная
улица	скобелевская	скобелевская
улица	смоленская	смоленская
бульвар	смоленский	смоленский
улица	снайперская	снайперская
улица	снежная	снежная
проезд	соболевский	соболевский
улица	советская	советская
улица	совхозная	совхозная
проезд	соймоновский	соймоновский
улица	соколово-мещерская	соколово-мещерская
улица	солдатская	солдатская
проезд	солмановский	солмановский
проезд	соловьиный	соловьиный
проезд	солянский	солянский
тупик	солянский	солянский
улица	сосинская	сосинская
аллея	сосновая	сосновая
площадь	спартаковская	спартаковская
улица	спартаковская	спартаковская
переулок	спартаковский	спартаковский
переулок	спиридоньевский	спиридоньевский
переулок	средний каретном	средний каретном
переулок	средний тишинский	средний тишинский
улица	средняя первомайская	средняя первомайская
бульвар	сретенский	сретенский
улица	старая басманная	старая басманная
улица	староалексеевская	староалексеевская
переулок	староваганьковский	староваганьковский
улица	староволынская	староволынская
шоссе	старое ярославское	старое ярославское
шоссе	старокалужское	старокалужское
улица	старокачаловский	старокачаловский
шоссе	старокаширское	старокаширское
переулок	староконюшенный	староконюшенный
переулок	старомонетный	старомонетный
проезд	старопетровский	старопетровский
переулок	старопименовский	старопименовский
переулок	старосадский	старосадский
улица	стартовая	стартовая
проезд	старый петровско-разумовский	старый петровско-разумовский
переулок	старый толмачевский	старый толмачевский
переулок	столешников	столешников
переулок	столярный	столярный
бульвар	страстной	страстной
переулок	стремянной	стремянной
бульвар	строгинский	строгинский
проезд	студеный	студеный
улица	суворовская	суворовская
улица	судостроительная	судостроительная
улица	суздальская	суздальская
улица	сущёвская	сущёвская
улица	сущевская	сущевская
переулок	сытинский	сытинский
тупик	сытинский	сытинский
улица	таганская	таганская
улица	талсинская	талсинская
улица	таманская	таманская
улица	тамбовская	тамбовская
проезд	танковый	танковый
улица	татарская	татарская
улица	тверская	тверская
бульвар	тверской	тверской
проезд	театральный	театральный
улица	тепличная	тепличная
переулок	тессинский	тессинский
улица	тестовская	тестовская
проезд	титовский	титовский
улица	тихвинская	тихвинская
улица	ткацкая	ткацкая
проезд	третьяковский	третьяковский
улица	трехгорная	трехгорная
переулок	трехпрудный	трехпрудный
улица	трифоновская	трифоновская
тупик	трифоновский	трифоновский
улица	тропаревская	тропаревская
улица	трубная	трубная
переулок	трубниковский	трубниковский
	ттк	ттк
улица	туристская	туристская
улица	угличская	угличская
улица	угрешская	угрешская
бульвар	украинский	украинский
улиц аКравченко		
улица линия	1-я хорошёвского серебряного бора	первая хорошёвского серебряного бора
улица	10-летия октября	десятилетия октября
улица года	1905	тысяча девятьсот пять
улица лет	25 октября	двадцать пятого октября
улица	26 бакинских комиссаров	двадцать шесть бакинских комиссаров
улица	26-ти бакинских комиссаров	26-и бакинских комиссаров
улица лет	50 октября	пятьдесят октября
улица	8 марта	восьмого марта
улица	авиаконструктора миля	авиаконструктора миля
улица	авиаконструктора сухого	авиаконструктора сухого
улица	адмирала лазарева	адмирала лазарева
улица	адмирала макарова	адмирала макарова
улица	академика анохина	академика анохина
улица	академика бочвара	академика бочвара
улица	академика виноградова	академика виноградова
улица	академика зелинского	академика зелинского
улица	академика зельдовича	академика зельдовича
улица	академика королева	академика королева
улица	академика курчатова	академика курчатова
улица	академика лаврентьева	академика лаврентьева
улица	академика петровского	академика петровского
улица	академика пилюгина	академика пилюгина
улица	академика скрябина	академика скрябина
улица	академика челомея	академика челомея
улица	алабяна	алабяна
улица	александра солженицына	александра солженицына
улица	александры монаховой	александры монаховой
улица	арбат	арбат
улица	асеева	асеева
улица	балчуг	балчуг
улица	барклая	барклая
улица	бестужевых	бестужевых
улица	богданова	богданова
улица	большая дмитровка	большая дмитровка
улица	большая лубянка	большая лубянка
улица	большая молчановка	большая молчановка
улица	большая ордынка	большая ордынка
улица	большая якиманка	большая якиманка
улица	большие каменщики	большие каменщики
улица	борисовские пруды	борисовские пруды
улица	бурденко	бурденко
улица	бутырский вал	бутырский вал
улица	вавилова	вавилова
улица	варварка	варварка
улица	василия петушкова	василия петушкова
улица	введенского	введенского
улица	верхняя масловка	верхняя масловка
улица	верхняя слобода	верхняя слобода
улица	веры волошиной	веры волошиной
улица	веткина	веткина
улица	веткина	веткина
улица	ветряных мельниц	ветряных мельниц
улица	викторенко	викторенко
улица	вильгельма пика	вильгельма пика
улица	волхонка	волхонка
улица	воронцово поле	воронцово поле
улица	воронцовские пруды	воронцовские пруды
улица	врубеля	врубеля
улица	гагарина	гагарина
улица	гарибальди	гарибальди
улица	гастелло	гастелло
улица	гвоздева	гвоздева
улица	генерала белобородова	генерала белобородова
улица	генерала белова	генерала белова
улица	генерала дорохова	генерала дорохова
улица	генерала кузнецова	генерала кузнецова
улица	герасима курина	герасима курина
улица	гиляровского	гиляровского
улица	говорова	говорова
улица	грина	грина
улица	грузинский вал	грузинский вал
улица	гурьянова	гурьянова
улица	декабристов	декабристов
улица	демьяна бедного	демьяна бедного
улица	дмитрия ульянова	дмитрия ульянова
улица	доватора	доватора
улица	довженко	довженко
улица	докукина	докукина
улица	достоевского	достоевского
улица	дубки	дубки
улица	дурова	дурова
улица	ефремова	ефремова
улица	заречье	заречье
улица	земляной вал	земляной вал
улица	знаменка	знаменка
улица	золоторожский вал	золоторожский вал
улица	измайловский вал	измайловский вал
улица	ильинка	ильинка
улица	ирины левченко	ирины левченко
улица	казакова	казакова
улица	каманина	каманина
улица	капотня	капотня
улица	каретный ряд	каретный ряд
улица	каховка	каховка
улица	кедрова	кедрова
улица	кибальчича	кибальчича
улица	кирова	кирова
